name,symbol,current_price,market_cap,price_change_percentage_24h
Bitcoin,btc,82290.0,1634006830895,8.64915
Ethereum,eth,1636.48,197782959832,14.72125
XRP,xrp,2.02,117607977659,13.58079
BNB,bnb,578.43,84398206344,6.29603
Solana,sol,117.17,60410940612,12.805
Dogecoin,doge,0.157329,23457767277,11.91924
TRON,trx,0.239377,22731200106,4.84384
Cardano,ada,0.620486,22354211173,11.90511
Lido Staked Ether,steth,1636.82,15357798878,15.10752
Wrapped Bitcoin,wbtc,82188.0,10604277753,8.45977
Chainlink,link,12.4,7916750958,14.75545
Toncoin,ton,3.07,7605428011,3.0817
Avalanche,avax,18.21,7569429530,12.81759
Stellar,xlm,0.237048,7304938576,7.62786
Hedera,hbar,0.168592,7119347209,15.48044
Sui,sui,2.19,7113307267,14.09016
